ticker,compamy_name
CBA,Commonwealth Bank of Australia
BHP,BHP Group Ltd
CSL,CSL Ltd
WBC,Westpac Banking Corporation
NAB,National Australia Bank Ltd
ANZ,Australia and New Zealand Banking Group Ltd
FMG,Fortescue Metals Group Ltd
WES,Wesfarmers Ltd
MQG,Macquarie Group Ltd
WOW,Woolworths Group Ltd
RIO,RIO Tinto Ltd
TLS,Telstra Corporation Ltd
TCL,Transurban Group
GMG,Goodman Group
APT,Afterpay Ltd
WPL,Woodside Petroleum Ltd
ALL,Aristocrat Leisure Ltd
COL,Coles Group Ltd
NCM,Newcrest Mining Ltd
REA,REA Group Ltd
XRO,Xero Ltd
JHX,James Hardie Industries Plc
FPH,Fisher & Paykel Healthcare Corporation Ltd
SHL,Sonic Healthcare Ltd
SYD,Sydney Airport
RHC,Ramsay Health Care Ltd
BXB,Brambles Ltd
SCG,Scentre Group
STO,Santos Ltd
QBE,QBE Insurance Group Ltd
COH,Cochlear Ltd
ASX,ASX Ltd
MGOC,Magellan Global Fund (Open Class) (Managed Fund)
AMC,Amcor Plc
S32,SOUTH32 Ltd
TPG,TPG Telecom Ltd
SUN,Suncorp Group Ltd
APA,APA Group
NST,Northern Star Resources Ltd
IAG,Insurance Australia Group Ltd
REH,Reece Ltd
TAH,Tabcorp Holdings Ltd
SGP,Stockland
AIA,Auckland International Airport Ltd
DXS,Dexus
SEK,Seek Ltd
CCL,Coca-Cola Amatil Ltd
MGR,Mirvac Group
QAN,Qantas Airways Ltd
BSL,Bluescope Steel Ltd
WTC,Wisetech Global Ltd
RMD,Resmed Inc
AFI,Australian Foundation Investment Company Ltd
LLC,Lendlease Group
GPT,GPT Group
OSH,Oil Search Ltd
DMP,Domino's PIZZA Enterprises Ltd
MFG,Magellan Financial Group Ltd
ORG,Origin Energy Ltd
CPU,Computershare Ltd
MCY,Mercury NZ Ltd
CWN,Crown Resorts Ltd
MPL,Medibank Private Ltd
TWE,Treasury Wine Estates Ltd
SOL,Washington H Soul Pattinson & Company Ltd
VAS,Vanguard Australian Shares INDEX ETF
SVW,Seven Group Holdings Ltd
EVN,Evolution Mining Ltd
VCX,Vicinity Centres
SPK,Spark New Zealand Ltd
OZL,OZ Minerals Ltd
PMGOLD,Gold Corporation
HVN,Harvey Norman Holdings Ltd
AZJ,Aurizon Holdings Ltd
IEL,Idp Education Ltd
AST,Ausnet Services Ltd
MIN,Mineral Resources Ltd
BLD,Boral Ltd
AGL,AGL Energy Ltd
CHC,Charter Hall Group
ARG,Argo Investments Ltd
JBH,JB Hi-Fi Ltd
A2M,The a2 Milk Company Ltd
ALD,Ampol Ltd
MEZ,Meridian Energy Ltd
ORI,Orica Ltd
ALX,Atlas Arteria
QUB,QUBE Holdings Ltd
CIM,Cimic Group Ltd
IPL,Incitec Pivot Ltd
WOR,Worley Ltd
BOQ,Bank of Queensland Ltd
FBU,Fletcher Building Ltd
BEN,Bendigo and Adelaide Bank Ltd
ANN,Ansell Ltd
LYC,Lynas Rare EARTHS Ltd
AWC,Alumina Ltd
NEC,Nine Entertainment Co. Holdings Ltd
NXT,NEXTDC Ltd
IGO,IGO Ltd
ALQ,Als Ltd
IFT,Infratil Ltd
AMP,AMP Ltd
PME,Pro Medicus Ltd
CWY,Cleanaway Waste Management Ltd
CAR,Carsales.com Ltd
STW,SPDR S&P/ASX 200 Fund
EBO,Ebos Group Ltd
CGF,Challenger Ltd
Z1P,ZIP Co Ltd
BPT,Beach Energy Ltd
IOZ,Ishares Core S&P/ASX 200 ETF
PMV,Premier Investments Ltd
IVV,Ishares S&P 500 ETF
SKI,Spark Infrastructure Group
APE,Eagers Automotive Ltd
BRG,Breville Group Ltd
MTS,Metcash Ltd
SGR,The Star Entertainment Group Ltd
FLT,Flight Centre Travel Group Ltd
DOW,Downer Edi Ltd
RWC,Reliance Worldwide Corporation Ltd
ALU,Altium Ltd
VOC,Vocus Group Ltd
NWL,Netwealth Group Ltd
SDF,Steadfast Group Ltd
GNE,Genesis Energy Ltd
NIC,Nickel Mines Ltd
MLT,Milton Corporation Ltd
CNU,Chorus Ltd
VUK,Virgin Money Uk Plc
TNE,Technology One Ltd
BKW,Brickworks Ltd
YAL,Yancoal Australia Ltd
PTM,Platinum Asset Management Ltd
VGS,Vanguard MSCI INDEX International Shares ETF
CDA,Codan Ltd
ARB,ARB Corporation Ltd
ORA,Orora Ltd
LNK,Link Administration Holdings Ltd
CSR,CSR Ltd
ILU,Iluka Resources Ltd
VEA,Viva Energy Group Ltd
CLW,Charter Hall Long Wale REIT
SGM,Sims Ltd
SNZ,Summerset Group Holdings Ltd
PLS,Pilbara Minerals Ltd
CTD,Corporate Travel Management Ltd
MGF,Magellan Global Fund
SUL,Super Retail Group Ltd
SCP,Shopping Centres Australasia Property Group
TLT,Tilt Renewables Ltd
HLS,Healius Ltd
GOZ,Growthpoint Properties Australia
BWP,BWP Trust
CIA,Champion Iron Ltd
BAP,Bapcor Ltd
DHG,Domain Holdings Australia Ltd
PBH,Pointsbet Holdings Ltd
NHF,Nib Holdings Ltd
SKC,Skycity Entertainment Group Ltd
IFL,IOOF Holdings Ltd
VTS,Vanguard US Total Market Shares INDEX ETF
ABP,Abacus Property Group
ZIM,Zimplats Holdings Ltd
AAA,Betashares Australian High Interest Cash ETF
LFG,Liberty Financial Group
CCP,Credit Corp Group Ltd
ABC,Adbri Ltd
CMW,Cromwell Property Group
APX,Appen Ltd
CQR,Charter Hall Retail REIT
PDL,Pendal Group Ltd
BIN,Bingo Industries Ltd
IOO,Ishares Global 100 ETF
DRR,Deterra Royalties Ltd
PPH,Pushpay Holdings Ltd
PNV,Polynovo Ltd
NSR,National Storage REIT
SLK,Sealink Travel Group Ltd
WPR,Waypoint REIT
VEU,Vanguard All-World Ex-US Shares INDEX ETF
ELD,Elders Ltd
WEB,Webjet Ltd
BGA,Bega Cheese Ltd
EVT,Event Hospitality and Entertainment Ltd
NUF,Nufarm Ltd
CGC,Costa Group Holdings Ltd
TYR,Tyro Payments Ltd
WAM,WAM Capital Ltd
PPT,Perpetual Ltd
VAP,Vanguard Australian Property Securities INDEX ETF
WHC,Whitehaven Coal Ltd
HTA,Hutchison Telecommunications (Australia) Ltd
NAN,Nanosonics Ltd
AIZ,Air New Zealand Ltd
IRE,Iress Ltd
DDR,Dicker Data Ltd
MP1,Megaport Ltd
EML,EML Payments Ltd
CIP,Centuria Industrial REIT
PNI,Pinnacle Investment Management Group Ltd
AVN,Aventus Group
VHY,Vanguard Australian Shares High Yield ETF
QUAL,Vaneck Vectors MSCI World Ex Australia Quality ETF
INA,Ingenia Communities Group
IAF,Ishares Core Composite Bond ETF
IVC,Invocare Ltd
NDQ,Betashares Nasdaq 100 ETF
BKL,Blackmores Ltd
UWL,Uniti Group Ltd
CHN,Chalice Mining Ltd
NXL,NUIX Ltd
RRL,Regis Resources Ltd
ORE,Orocobre Ltd
LOV,Lovisa Holdings Ltd
VAF,Vanguard Australian Fixed Interest INDEX ETF
VGAD,Vanguard MSCI INDEX International Shares (Hedged) ETF
MSB,Mesoblast Ltd
CEN,Contact Energy Ltd
CNI,Centuria Capital Group
MFF,MFF Capital Investments Ltd
LIC,Lifestyle Communities Ltd
RBL,Redbubble Ltd
MVW,Vaneck Vectors Australian EQUAL Weight ETF
SBM,ST Barbara Ltd
IPH,IPH Ltd
HUB,HUB24 Ltd
SLR,Silver Lake Resources Ltd
CUV,Clinuvel Pharmaceuticals Ltd
DEG,De Grey Mining Ltd
PRU,Perseus Mining Ltd
AUB,AUB Group Ltd
LSF,L1 Long Short Fund Ltd
ZEL,Z Energy Ltd
KGN,Kogan.com Ltd
PLL,Piedmont Lithium Ltd
CRN,Coronado Global Resources Inc
NWS,News Corporation
RMS,Ramelius Resources Ltd
MXT,MCP Master Income Trust
CKF,Collins Foods Ltd
ING,Inghams Group Ltd
WLE,Wam Leaders Ltd
AX1,Accent Group Ltd
PGH,Pact Group Holdings Ltd
TLX,TELIX Pharmaceuticals Ltd
FCL,Fineos Corporation Holdings Plc
HMC,Home Consortium
UMG,United Malt Group Ltd
ETHI,Betashares Global Sustainability Leaders ETF
JHG,Janus Henderson Group Plc
GOLD,ETFs Metal Securities Australia Ltd
OCL,Objective Corporation Ltd
ISX,Isignthis Ltd
GNC,Graincorp Ltd
TPW,Temple & Webster Group Ltd
NHC,New Hope Corporation Ltd
GXY,Galaxy Resources Ltd
URW,Unibail-Rodamco-Westfield
GUD,G.U.D. Holdings Ltd
CQE,Charter Hall Social Infrastructure REIT
AUI,Australian United Investment Company Ltd
A200,Betashares Australia 200 ETF
HSN,Hansen Technologies Ltd
RBD,Restaurant Brands New Zealand Ltd
HYGG,Hyperion GBL Growth Companies Fund (Managed Fund)
ARF,Arena REIT
DBI,Dalrymple Bay Infrastructure Ltd
GOR,Gold Road Resources Ltd
BKI,BKI Investment Company Ltd
COF,Centuria Office REIT
GMA,Genworth Mortgage Insurance Australia Ltd
OML,Ooh!Media Ltd
BRN,Brainchip Holdings Ltd
NEA,Nearmap Ltd
HM1,Hearts and Minds Investments Ltd
HBRD,Betashares Active Australian Hybrids Fund (Managed Fund)
MAQ,Macquarie Telecom Group Ltd
DUI,Diversified United Investment Ltd
PSI,PSC Insurance Group Ltd
SFR,Sandfire Resources Ltd
HGH,Heartland Group Holdings Ltd
MND,Monadelphous Group Ltd
IDX,Integral Diagnostics Ltd
RMC,Resimac Group Ltd
OBL,Omni Bridgeway Ltd
GEM,G8 Education Ltd
ERA,Energy Resources of Australia Ltd
NWH,NRW Holdings Ltd
NVX,Novonix Ltd
WGX,Westgold Resources Ltd
BGP,Briscoe Group Australasia Ltd
MGX,Mount Gibson Iron Ltd
IEM,Ishares MSCI Emerging Markets ETF
LEP,Ale Property Group
CCX,City Chic Collective Ltd
VG1,Vgi Partners Global Investments Ltd
KMD,Kathmandu Holdings Ltd
MMS,Mcmillan Shakespeare Ltd
FAIR,Betashares Australian Sustainability Leaders ETF
JLG,Johns LYNG Group Ltd
MHH,Magellan High Conviction Trust
SIQ,Smartgroup Corporation Ltd
MGH,Maas Group Holdings Ltd
SPL,Starpharma Holdings Ltd
NBI,NB Global Corporate Income Trust
MOE,Moelis Australia Ltd
IXJ,Ishares Global Healthcare ETF
IAP,Irongate Group
JIN,Jumbo Interactive Ltd
RFF,Rural Funds Group
IAA,Ishares Asia 50 ETF
NCK,Nick Scali Ltd
VDHG,Vanguard Diversified High Growth INDEX ETF
AKP,Audio Pixels Holdings Ltd
EOS,Electro Optic Systems Holdings Ltd
LTR,Liontown Resources Ltd
DTL,Data#3 Ltd
AEF,Australian Ethical Investment Ltd
ASB,Austal Ltd
KKC,KKR Credit Income Fund
OCA,Oceania Healthcare Ltd
PDN,Paladin Energy Ltd
GWA,GWA Group Ltd
SZL,Sezzle Inc
AHY,Asaleo Care Ltd
BET,Betmakers Technology Group Ltd
QPON,Betashares Australian Bank Senior Floating Rate Bond ETF
BGL,Bellevue Gold Ltd
MICH,Magellan Infrastructure Fund (Currency Hedged)(Managed Fund)
INR,Ioneer Ltd
WAF,West African Resources Ltd
SIG,Sigma Healthcare Ltd
TGR,Tassal Group Ltd
SFY,SPDR S&P/ASX 50 Fund
ADN,Andromeda Metals Ltd
CIN,Carlton Investments Ltd
360,LIFE360 Inc
ABR,American Pacific Borates Ltd
SHV,Select Harvests Ltd
BBN,Baby Bunting Group Ltd
AAC,Australian Agricultural Company Ltd
SWM,Seven West Media Ltd
AFG,Australian Finance Group Ltd
PRN,Perenti Global Ltd
SM1,Synlait Milk Ltd
SGF,SG Fleet Group Ltd
OPH,Ophir High Conviction Fund
ADH,Adairs Ltd
VUL,Vulcan Energy Resources Ltd
MMM,Marley Spoon AG
BWX,BWX Ltd
BVS,Bravura Solutions Ltd
ADI,Apn Industria REIT
IEU,Ishares Europe ETF
WSA,Western Areas Ltd
ASIA,Betashares Asia Technology Tigers ETF
API,Australian Pharmaceutical Industries Ltd
IMD,IMDEX Ltd
AQZ,Alliance Aviation Services Ltd
SKO,Serko Ltd
REG,Regis Healthcare Ltd
HDN,Homeco Daily Needs REIT
WPP,WPP AUNZ Ltd
IHVV,Ishares S&P 500 Aud Hedged ETF
DJW,Djerriwarrh Investments Ltd
VIF,Vanguard International Fixed Interest INDEX (Hedged) ETF
ASM,Australian Strategic Materials Ltd
ECX,Eclipx Group Ltd
MNY,MONEY3 Corporation Ltd
KAR,Karoon Energy Ltd
SLF,SPDR S&P/ASX 200 Listed Property Fund
JMS,Jupiter Mines Ltd
GDI,GDI Property Group
CWP,Cedar Woods Properties Ltd
FGG,Future Generation Global Investment Company Ltd
AVZ,AVZ Minerals Ltd
IFM,Infomedia Ltd
VGB,Vanguard Australian Government Bond INDEX ETF
CTT,Cettire Ltd
MYX,Mayne Pharma Group Ltd
BFG,Bell Financial Group Ltd
PWH,PWR Holdings Ltd
EHE,Estia Health Ltd
STX,Strike Energy Ltd
IMU,Imugene Ltd
RDC,Redcape Hotel Group
OPT,Opthea Ltd
PPC,Peet Ltd
VGI,VGI Partners Ltd
SXL,Southern Cross Media Group Ltd
MIR,Mirrabooka Investments Ltd
PAR,Paradigm Biopharmaceuticals Ltd
WGB,Wam Global Ltd
EHL,Emeco Holdings Ltd
AD8,Audinate Group Ltd
OMH,Om Holdings Ltd
CMM,Capricorn Metals Ltd
ART,Airtasker Ltd
RAC,Race Oncology Ltd
PWG,Primewest
SXYDA,SENEX Energy Ltd
VG8,Vgi Partners Asian Investments Ltd
GRR,Grange Resources Ltd
FGX,Future Generation Investment Company Ltd
HPI,Hotel Property Investments
SYR,Syrah Resources Ltd
ABB,Aussie Broadband Ltd
RSG,Resolute Mining Ltd
WHF,Whitefield Ltd
BILL,Ishares Core Cash ETF
PGG,Partners Group Global Income Fund
VACF,Vanguard Australian Corp Fixed Interest INDEX ETF
NTO,Nitro Software Ltd
PL8,Plato Income Maximiser Ltd
APL,Antipodes Global Investment Company Ltd
EQT,EQT Holdings Ltd
VGE,Vanguard Ftse Emerging Markets Shares ETF
VSO,Vanguard MSCI Australian Small Companies INDEX ETF
PYC,PYC Therapeutics Ltd
FSF,Fonterra Shareholders' Fund
UNI,Universal Store Holdings Ltd
HT1,HT&E Ltd
PPK,PPK Group Ltd
HUM,Humm Group Ltd
AGG,Anglogold Ashanti Ltd
CRED,Betashares Australian Investment Grade Corporate Bond ETF
SSM,Service Stream Ltd
ABY,Adore Beauty Group Ltd
RF1,Regal Investment Fund
MVA,Vaneck Vectors Australian Property ETF
FDV,Frontier Digital Ventures Ltd
PAI,Platinum Asia Investments Ltd
COE,Cooper Energy Ltd
VRT,Virtus Health Ltd
VGL,Vista Group International Ltd
ADO,Anteotech Ltd
ELO,Elmo Software Ltd
AMI,Aurelia Metals Ltd
AFP,Aft Pharmaceuticals Ltd
PGF,PM Capital Global Opportunities Fund Ltd
ALG,Ardent Leisure Group Ltd
MAH,Macmahon Holdings Ltd
MNF,MNF Group Ltd
DUB,Dubber Corporation Ltd
XARO,Activex Ardea Real Outcome Bond Fund (Managed Fund)
PMC,Platinum Capital Ltd
AMA,AMA Group Ltd
PIC,Perpetual Equity Investment Company Ltd
WMI,Wam Microcap Ltd
3DP,Pointerra Ltd
AQR,Apn Convenience Retail REIT
PCI,Perpetual Credit Income Trust
ALK,Alkane Resources Ltd
CVN,Carnarvon Petroleum Ltd
MCR,Mincor Resources NL
GCI,Gryphon Capital Income Trust
88E,88 Energy Ltd
MYS,Mystate Ltd
EMR,Emerald Resources NL
HACK,Betashares Global Cybersecurity ETF
IVE,Ishares MSCI Eafe ETF
PSQ,Pacific Smiles Group Ltd
JRV,Jervois Mining Ltd
BLX,Beacon Lighting Group Ltd
WSP,Whispir Ltd
ASG,Autosports Group Ltd
SGLLV,Ricegrowers Ltd
IRI,Integrated Research Ltd
DJRE,SPDR Dow Jones Global Real Estate Fund
CAT,Catapult Group International Ltd
ILC,Ishares S&P/ASX 20 ETF
VDGR,Vanguard Diversified Growth INDEX ETF
VDBA,Vanguard Diversified Balanced INDEX ETF
RIC,Ridley Corporation Ltd
SPT,Splitit Payments Ltd
ADT,Adriatic Metals Plc
AOF,Australian Unity Office Fund
E25,Element 25 Ltd
MVP,Medical Developments International Ltd
TLG,Talga Group Ltd
BTH,Bigtincan Holdings Ltd
IFRA,Vaneck Vectors Ftse Global Infrastructure (Hedged) ETF
ARX,Aroa Biosurgery Ltd
QRI,Qualitas Real Estate Income Fund
IJP,Ishares MSCI Japan ETF
UOS,United Overseas Australia Ltd
AVH,Avita Medical Inc
WGN,Wagners Holding Company Ltd
MLD,Maca Ltd
RED,RED 5 Ltd
HLO,Helloworld Travel Ltd
PIXX,Platinum International Fund (Quoted Managed Hedge Fund)
GDX,Vaneck Vectors Gold Miners ETF
SO4,Salt Lake Potash Ltd
CXL,CALIX Ltd
MOT,MCP Income Opportunities Trust
CAJ,Capitol Health Ltd
4DX,4DMEDICAL Ltd
PPE,People Infrastructure Ltd
SLC,Superloop Ltd
BSE,Base Resources Ltd
MAU,Magnetic Resources NL
MFB,My Food Bag Group Ltd
NWSLV,News Corporation
CSX,Cleanspace Holdings Ltd
CBR,Carbon Revolution Ltd
SSR,SSR Mining Inc
WAX,Wam Research Ltd
BKG,Booktopia Group Ltd
VBND,Vanguard Global Aggregate Bond INDEX (Hedged) ETF
ALC,Alcidion Group Ltd
LEG,Legend Mining Ltd
VHT,Volpara Health Technologies Ltd
QAU,Betashares Gold Bullion ETF - Currency Hedged
CVW,Clearview Wealth Ltd
A4N,Alpha Hpa Ltd
ERD,Eroad Ltd
VAE,Vanguard Ftse Asia Ex Japan Shares INDEX ETF
PPS,Praemium Ltd
LKE,Lake Resources N.L.
PIA,Pengana International Equities Ltd
AMH,Amcil Ltd
QOZ,Betashares Ftse Rafi Australia 200 ETF
MHG,Magellan Global Equities Fund Currency Hedged (Managed Fund)
QHAL,Vaneck Vectors MSCI World Ex Australia Quality (Hedged) ETF
SDG,Sunland Group Ltd
CDM,Cadence Capital Ltd
WBT,Weebit Nano Ltd
FUEL,Betashares Global Energy Companies ETF - Currency Hedged
IHCB,Ishares Core Global Corporate Bond(Aud Hedged) ETF
BBOZ,Betashares Australian Strong Bear (Hedge Fund)
SRV,Servcorp Ltd
CLV,Clover Corporation Ltd
BUB,Bubs Australia Ltd
ALI,Argo Global Listed Infrastructure Ltd
TWR,Tower Ltd
WDIV,SPDR S&P Global Dividend Fund
PFP,Propel Funeral Partners Ltd
CDP,Carindale Property Trust
DDH,DDH1 Ltd
RUL,Rpmglobal Holdings Ltd
M7T,MACH7 Technologies Ltd
MYR,Myer Holdings Ltd
MVF,Monash Ivf Group Ltd
EXR,Elixir Energy Ltd
EZL,EUROZ Ltd
TUA,Tuas Ltd
SST,Steamships Trading Company Ltd
DCN,Dacian Gold Ltd
TGG,Templeton Global Growth Fund Ltd
FLN,Freelancer Ltd
BOE,Boss Energy Ltd
YMAX,Betashares Aus Top 20 Equity Yield MAX Fund (Managed Fund)
BD1,BARD1 Life Sciences Ltd
ABA,Auswide Bank Ltd
GEAR,Betashares Geared Australian Equity Fund (Hedge Fund)
PE1,Pengana Private Equity Trust
EGR,Ecograf Ltd
FLOT,Vaneck Vectors Australian Floating Rate ETF
SKT,Sky Network Television Ltd
PAC,Pacific Current Group Ltd
BCK,Brockman Mining Ltd
HPG,Hipages Group Holdings Ltd
IHWL,Ishares Core MSCI World All Cap (Aud Hedged) ETF
HUO,Huon Aquaculture Group Ltd
PAN,Panoramic Resources Ltd
TBR,Tribune Resources Ltd
IJR,Ishares S&P Small-Cap ETF
NEW,NEW Energy Solar
IHD,Ishares S&P/ASX Dividend Opportunities ETF
RDV,Russell Investments High Dividend Australian Shares ETF
HAS,Hastings Technology Metals Ltd
RARI,Russell Investments Australian Responsible Investment ETF
WQG,WCM Global Growth Ltd
SFC,Schaffer Corporation Ltd
KSL,Kina Securities Ltd
EGG,Enero Group Ltd
OFX,OFX Group Ltd
PNR,Pantoro Ltd
NVA,Nova Minerals Ltd
KGL,KGL Resources Ltd
TECH,ETFs Morningstar Global Technology ETF
RNU,Renascor Resources Ltd
SNL,Supply Network Ltd
HE8,Helios Energy Ltd
CTM,Centaurus Metals Ltd
RHY,RHYTHM Biosciences Ltd
GDF,Garda Property Group
AGI,Ainsworth Game Technology Ltd
RCB,Russell Investments Australian Select Corporate Bond ETF
4DS,4DS Memory Ltd
RHP,Rhipe Ltd
PLUS,Vaneck Vectors Australian Corporate Bond Plus ETF
SVL,Silver Mines Ltd
AHI,Advanced Human Imaging Ltd
MHJ,Michael Hill International Ltd
ANO,Advance Nanotek Ltd
ILB,Ishares Government Inflation ETF
F100,Betashares Ftse 100 ETF
IMR,"Imricor Medical Systems, Inc"
FWD,Fleetwood Ltd
MNS,Magnis Energy Technologies Ltd
OOO,Betashares Crude Oil INDEX ETF-Currency Hedged (Synthetic)
CXO,Core Lithium Ltd
NGI,Navigator Global Investments Ltd
OTW,Over the Wire Holdings Ltd
TRA,Turners Automotive Group Ltd
AYS,Amaysim Australia Ltd
FRI,Finbar Group Ltd
TRS,The Reject Shop Ltd
CYC,Cyclopharm Ltd
MME,Moneyme Ltd
IOU,Ioupay Ltd
MYD,Mydeal.com.Au Ltd
TNT,Tesserent Ltd
WXOZ,SPDR S&P World Ex Australia Fund
GLL,Galilee Energy Ltd
VESG,Vanguard Ethically Conscious International Shares INDEX ETF
CVC,CVC Ltd
WCMQ,WCM Quality Global Growth Fund (Quoted Managed Fund)
IMM,Immutep Ltd
GSS,Genetic Signatures Ltd
CLQ,Clean TEQ Holdings Ltd
GGG,Greenland Minerals Ltd
SFG,Seafarms Group Ltd
IHL,Incannex Healthcare Ltd
CDD,Cardno Ltd
DGO,DGO Gold Ltd
QVE,QV Equities Ltd
CPH,Creso Pharma Ltd
WZR,Wisr Ltd
HFR,Highfield Resources Ltd
EMH,European Metals Holdings Ltd
HMY,Harmoney Corp Ltd
VVA,Viva Leisure Ltd
MOAT,Vaneck Vectors Morningstar Wide Moat ETF
GLB,Globe International Ltd
SLA,Silk Laser Australia Ltd
ISEC,Ishares Enhanced Cash ETF
ECF,Elanor Commercial Property Fund
AVJ,Avjennings Ltd
LME,"Limeade, Inc"
ARU,Arafura Resources Ltd
TGP,360 Capital Group
SYI,SPDR MSCI Australia Select High Dividend Yield Fund
DTC,Damstra Holdings Ltd
DYL,Deep Yellow Ltd
FMS,Flinders Mines Ltd
WOT,Wotso Property
SLX,SILEX Systems Ltd
LYL,Lycopodium Ltd
AXE,Archer Materials Ltd
AJM,Altura Mining Ltd
IGL,Ive Group Ltd
ROBO,ETFs Robo Global Robotics and Automation ETF
WGO,Warrego Energy Ltd
VTH,Vitalharvest Freehold Trust
CL1,Class Ltd
SMP,Smartpay Holdings Ltd
OBM,Ora Banda Mining Ltd
SRG,SRG Global Ltd
VCF,Vanguard International Credit Securities INDEX (Hedged) ETF
OPY,Openpay Group Ltd
JHC,Japara Healthcare Ltd
GNG,GR Engineering Services Ltd
AVG,Australian Vintage Ltd
BNO,Bionomics Ltd
NTU,Northern Minerals Ltd
ST1,Spirit Technology Solutions Ltd
NMT,Neometals Ltd
FEMX,Fidelity Global Emerging Markets Fund (Managed Fund)
KCN,Kingsgate Consolidated Ltd
CYL,Catalyst Metals Ltd
GVF,Global Value Fund Ltd
ALF,Australian Leaders Fund Ltd
NCZ,New Century Resources Ltd
AMS,Atomos Ltd
KLL,Kalium Lakes Ltd
AIS,Aeris Resources Ltd
BBUS,Betashares US Equities Strong Bear Currency Hedged (HF)
LVT,Livetiles Ltd
WMA,Wam Alternative Assets Ltd
FID,Fiducian Group Ltd
MLX,Metals X Ltd
ORR,Orecorp Ltd
PAXX,Platinum Asia Fund (Quoted Managed Hedge Fund)
SMR,Stanmore Coal Ltd
NZK,New Zealand King Salmon Investments Ltd
CRO,Cirralto Ltd
WDMF,Ishares Edge MSCI World Multifactor ETF
FANG,ETFs Fang+ ETF
IRD,Iron Road Ltd
EOF,Ecofibre Ltd
PCG,Pengana Capital Group Ltd
IMA,Image Resources NL
KZA,KAZIA Therapeutics Ltd
DSK,Dusk Group Ltd
DW8,Digital Wine Ventures Ltd
ENN,Elanor Investors Group
NOX,Noxopharm Ltd
ATEC,Betashares S&P/ASX Australian Technology ETF
EX20,Betashares Australian Ex-20 Portfolio Diversifier ETF
VML,Vital Metals Ltd
FZO,Family ZONE Cyber Safety Ltd
MCP,Mcpherson's Ltd
EMV,Emvision Medical Devices Ltd
ONT,1300 Smiles Ltd
WVOL,Ishares Edge MSCI World Minimum Volatility ETF
DOC,Doctor Care Anywhere Group Plc
3PL,3P Learning Ltd
PLT,Plenti Group Ltd
BTI,Bailador Technology Investments Ltd
VEQ,Vanguard Ftse Europe Shares ETF
HTG,Harvest Technology Group Ltd
SVM,Sovereign Metals Ltd
CEL,Challenger Exploration Ltd
BCI,BCI Minerals Ltd
MVE,Vaneck Vectors S&P/ASX Midcap ETF
APD,Apn Property Group
MAD,Mader Group Ltd
MGV,Musgrave Minerals Ltd
