ticker,compamy_name
LBY,Laybuy Group Holdings Ltd
REX,Regional Express Holdings Ltd
VXR,Venturex Resources Ltd
RCE,Recce Pharmaceuticals Ltd
EOL,Energy One Ltd
GPR,Geopacific Resources Ltd
BOC,Bougainville Copper Ltd
FYI,FYI Resources Ltd
MAI,Mainstream Group Holdings Ltd
IXR,Ionic Rare EARTHS Ltd
IJH,Ishares S&P Mid-Cap ETF
KSC,K & S Corporation Ltd
PBP,Probiotec Ltd
EVO,Evolve Education Group Ltd
SOM,Somnomed Ltd
EGN,Engenco Ltd
COG,COG Financial Services Ltd
MRC,Mineral Commodities Ltd
FFX,Firefinch Ltd
RDY,Readytech Holdings Ltd
NXS,Next Science Ltd
MX1,Micro-X Ltd
MML,Medusa Mining Ltd
BKY,Berkeley Energia Ltd
EWC,Energy World Corporation Ltd
TIE,Tietto Minerals Ltd
D2O,Duxton Water Ltd
HZR,HAZER Group Ltd
MCA,Murray Cod Australia Ltd
VDCO,Vanguard Diversified Conservative INDEX ETF
CNEW,Vaneck Vectors China New Economy ETF
SOR,Strategic Elements Ltd
NEU,Neuren Pharmaceuticals Ltd
EAI,Ellerston Asian Investments Ltd
BNDS,Betashares Legg Mason Australian Bond Fund (Managed Fund)
FOR,Forager Australian Shares Fund
NWF,Newfield Resources Ltd
SHJ,Shine Justice Ltd
IBX,Imagion Biosystems Ltd
EP1,E&P Financial Group Ltd
RFG,Retail Food Group Ltd
CGS,Cogstate Ltd
SES,Secos Group Ltd
BMN,Bannerman Resources Ltd
POS,Poseidon Nickel Ltd
MXC,MGC Pharmaceuticals Ltd
PPG,Pro-Pac Packaging Ltd
NZM,NZME Ltd
VRX,VRX Silica Ltd
WIC,Westoz Investment Company Ltd
ACDC,ETFs Battery Tech & Lithium ETF
PET,Phoslock Environmental Technologies Ltd
SVY,Stavely Minerals Ltd
IWLD,Ishares Core MSCI World All Cap ETF
MTO,Motorcycle Holdings Ltd
HLA,Healthia Ltd
BYE,Byron Energy Ltd
ITG,Intega Group Ltd
DNK,Danakali Ltd
YOJ,Yojee Ltd
CAI,Calidus Resources Ltd
GNP,Genusplus Group Ltd
MOC,Mortgage Choice Ltd
CAN,Cann Group Ltd
G1A,Galena Mining Ltd
ATU,Atrum Coal Ltd
IPD,Impedimed Ltd
AUT,Auteco Minerals Ltd
FLC,Fluence Corporation Ltd
VEE,Veem Ltd
MVB,Vaneck Vectors Australian Banks ETF
CUP,Countplus Ltd
PEK,Peak Resources Ltd
5GN,5G Networks Ltd
OGC,Oceanagold Corporation
BID,Bill Identity Ltd
JAN,Janison Education Group Ltd
MIH,MNC Media Investment Ltd
GDG,Generation Development Group Ltd
GNX,GENEX Power Ltd
BSX,Blackstone Minerals Ltd
TNK,Think Childcare Group
SSG,Shaver Shop Group Ltd
PVS,Pivotal Systems Corporation
SYA,Sayona Mining Ltd
VTG,Vita Group Ltd
APZ,Aspen Group
HVST,Betashares Australian Dividend Harvester Fund (Managed Fund)
A2B,A2B Australia Ltd
USD,Betashares U.S. Dollar ETF
FNP,Freedom Foods Group Ltd
EVS,Envirosuite Ltd
RBTZ,Betashares Global Robotics and Artificial Intelligence ETF
ERF,Elanor Retail Property Fund
LRK,Lark Distilling Co. Ltd
TNG,TNG Ltd
PGL,Prospa Group Ltd
GTK,Gentrack Group Ltd
PX1,Plexure Group Ltd
EXP,Experience Co Ltd
EMN,Euro Manganese Inc
SUBD,Vaneck Vectors Australian Subordinated Debt ETF
TEK,Thorney Technologies Ltd
CCV,Cash Converters International
RDF,Redflex Holdings Ltd
AGH,Althea Group Holdings Ltd
QIP,QANTM Intellectual Property Ltd
SFX,Sheffield Resources Ltd
OIL,Optiscan Imaging Ltd
RMY,Rma Global Ltd
TGN,Tungsten Mining NL
MYL,Myanmar Metals Ltd
LOT,Lotus Resources Ltd
GCY,Gascoyne Resources Ltd
EGH,Eureka Group Holdings Ltd
QLTY,Betashares Global Quality Leaders ETF
FGR,First Graphene Ltd
ICQ,Icar Asia Ltd
GMD,Genesis Minerals Ltd
LPD,Lepidico Ltd
ZBT,ZEBIT Inc
SXE,Southern Cross Electrical Engineering Ltd
BCN,Beacon Minerals Ltd
VBLD,Vanguard Global Infrastructure INDEX ETF
FSA,FSA Group Ltd
BDC,Bardoc Gold Ltd
STA,Strandline Resources Ltd
DTZ,DOTZ Nano Ltd
BSA,BSA Ltd
SEC,Spheria Emerging Companies Ltd
GLN,Galan Lithium Ltd
WJA,Wameja Ltd
RVR,Red River Resources Ltd
VMT,Vmoto Ltd
LVH,Livehire Ltd
GDA,Good Drinks Australia Ltd
HCH,Hot Chili Ltd
PRL,Province Resources Ltd
ONE,Oneview Healthcare Plc
CCR,Credit Clear Ltd
EPD,Empired Ltd
AGY,Argosy Minerals Ltd
TOT,360 Capital REIT
ETPMAG,ETFs Metal Securities Australia Ltd
5GG,Pentanet Ltd
VLC,Vanguard MSCI Australian Large Companies INDEX ETF
MDR,Medadvisor Ltd
AVA,AVA Risk Group Ltd
SWF,Selfwealth Ltd
MGT,Magnetite Mines Ltd
WXHG,SPDR S&P World Ex Australia (Hedged) Fund
WHA,Wattle Health Australia Ltd
IZZ,Ishares China Large-Cap ETF
MVR,Vaneck Vectors Australian Resources ETF
ORN,Orion Minerals Ltd
PIQ,Proteomics International Laboratories Ltd
NSC,Naos Small Cap Opportunities Company Ltd
IXI,Ishares Global Consumer Staples ETF
TGM,Theta Gold Mines Ltd
IKE,Ikegps Group Ltd
WMX,Wiluna Mining Corporation Ltd
AIM,Access Innovation Holdings Ltd
DSE,Dropsuite Ltd
RYD,Ryder Capital Ltd
GBND,Betashares Sustainability Leaders DVRSFD Bond ETF - Cur HDG
MSTR,Morningstar International Shares Active ETF (Managed Fund)
ISO,Ishares S&P/ASX Small Ordinaries ETF
KSS,Kleos Space S.A
BUD,Buddy Technologies Ltd
TGF,Tribeca Global Natural Resources Ltd
EEG,Empire Energy Group Ltd
CAM,Clime Capital Ltd
RSH,Respiri Ltd
FBR,FBR Ltd
RCT,Reef Casino Trust
EER,East Energy Resources Ltd
DUR,Duratec Ltd
IHOO,Ishares Global 100 Aud Hedged ETF
BBX,BBX Minerals Ltd
IGB,Ishares Treasury ETF
ACQ,Acorn Capital Investment Fund Ltd
ANP,Antisense Therapeutics Ltd
AGD,Austral Gold Ltd
BRI,Big River Industries Ltd
TTM,Titan Minerals Ltd
MRM,Mma Offshore Ltd
DUG,DUG Technology Ltd
RDG,Resource Development Group Ltd
RTG,RTG Mining Inc
AMN,Agrimin Ltd
ZEO,Zeotech Ltd
EX1,Exopharm Ltd
SGH,Slater & Gordon Ltd
WWI,West Wits Mining Ltd
OZF,SPDR S&P/ASX 200 Financials Ex A-REIT Fund
FAR,FAR Ltd
SNS,Sensen Networks Ltd
MEA,Mcgrath Ltd
NET,Netlinkz Ltd
HZN,Horizon Oil Ltd
SDV,Scidev Ltd
LCK,Leigh Creek Energy Ltd
LIT,Lithium Australia NL
LAU,Lindsay Australia Ltd
ZNO,ZOONO Group Ltd
TOP,Thorney Opportunities Ltd
RZI,RAIZ Invest Ltd
GDC,Global Data Centre Group
PEX,Peel Mining Ltd
GOW,Gowing Bros Ltd
IVR,Investigator Resources Ltd
CAA,Capral Ltd
CII,Ci Resources Ltd
WAT,Waterco Ltd
CYG,Coventry Group Ltd
AZS,AZURE Minerals Ltd
NOV,Novatti Group Ltd
PEN,Peninsula Energy Ltd
BLU,Blue Energy Ltd
OZR,SPDR S&P/ASX 200 Resources Fund
BOT,Botanix Pharmaceuticals Ltd
ARA,Ariadne Australia Ltd
AT1,Atomo Diagnostics Ltd
EPY,Earlypay Ltd
SELF,Selfwealth SMSF Leaders ETF
LGP,Little Green Pharma Ltd
AOP,Apollo Consolidated Ltd
TMH,The Market Herald Ltd
SNC,Sandon Capital Investments Ltd
FEX,FENIX Resources Ltd
TSO,Tesoro Resources Ltd
KIN,KIN Mining NL
IDT,IDT Australia Ltd
TWD,Tamawood Ltd
KIS,King Island Scheelite Ltd
GAS,State GAS Ltd
FFG,Fatfish Group Ltd
ZYAU,ETFs S&P/ASX 300 High Yield Plus ETF
COS,Cosol Ltd
IHHY,Ishares Global High Yield Bond (Aud Hedged) ETF
CTP,Central Petroleum Ltd
NTD,National Tyre & Wheel Ltd
UBI,Universal Biosensors Inc
UMAX,Betashares S&P 500 Yield Maximiser Fund (Managed Fund)
8VI,8VI Holdings Ltd
BDM,Burgundy Diamond Mines Ltd
HETH,Betashares Global Sustainability Leaders ETF - CH
AGVT,Betashares Australian Government Bond ETF
OCC,Orthocell Ltd
LCY,Legacy Iron Ore Ltd
CLU,Cluey Ltd
NNT,99 Technology Ltd
SDI,SDI Ltd
KPG,Kelly Partners Group Holdings Ltd
RXP,RXP Services Ltd
COB,Cobalt Blue Holdings Ltd
APC,Australian Potash Ltd
TAM,Tanami Gold NL
AEG,Absolute Equity Performance Fund Ltd
CRW,Cashrewards Ltd
NWC,New World Resources Ltd
VMY,Vimy Resources Ltd
RCW,Rightcrowd Ltd
RND,Rand Mining Ltd
AHX,Apiam Animal Health Ltd
WEC,White Energy Company Ltd
ANG,Austin Engineering Ltd
GTN,GTN Ltd
QUS,Betashares S&P 500 EQUAL Weight ETF
RHT,Resonance Health Ltd
TAO,TAO Commodities Ltd
AMX,Aerometrex Ltd
TIG,Tigers Realm Coal Ltd
TSI,Top Shelf International Holdings Ltd
DRUG,Betashares Global Healthcare ETF - Currency Hedged
VAN,Vango Mining Ltd
RKN,Reckon Ltd
NML,Navarre Minerals Ltd
MSV,Mitchell Services Ltd
STG,Straker Translations Ltd
CYP,Cynata Therapeutics Ltd
BKT,Black Rock Mining Ltd
RNT,Rent.com.Au Ltd
FUN,Funtastic Ltd
YFZ,Youfoodz Holdings Ltd
GRNV,Vaneck Vectors MSCI Australian Sustainable Equity ETF
GAP,Gale Pacific Ltd
PCK,Painchek Ltd
BRV,Big River Gold Ltd
AND,Ansarada Group Ltd
VISM,Vanguard MSCI International Small Companies INDEX ETF
IXU,Ixup Ltd
VR1,Vection Technologies Ltd
TZN,Terramin Australia Ltd
RXM,REX Minerals Ltd
OKU,Oklo Resources Ltd
IOD,Iodm Ltd
TOE,Toro Energy Ltd
QRE,Betashares Australian Resources Sector ETF
MVS,Vaneck Vectors Small Companies Masters ETF
AHQ,Allegiance Coal Ltd
ARV,Artemis Resources Ltd
RFX,Redflow Ltd
PTB,PTB Group Ltd
TUL,Tulla Resources Plc
IHR,Intellihr Ltd
RXL,ROX Resources Ltd
JRL,Jindalee Resources Ltd
RGB,Russell Investments Australian Government Bond ETF
MEI,Meteoric Resources NL
LEX,Lefroy Exploration Ltd
MOGL,Montaka Global Long Only Equities Fund (Managed Fund)
NUH,Nuheara Ltd
MEP,Minotaur Exploration Ltd
KKO,Kinetiko Energy Ltd
MWY,Midway Ltd
MMI,Metro Mining Ltd
TTT,Titomic Ltd
CSS,Clean Seas Seafood Ltd
ACF,Acrow Formwork and Construction Services Ltd
EM2,Eagle Mountain Mining Ltd
DNA,Donaco International Ltd
QPM,Queensland Pacific Metals Ltd
GTG,Genetic Technologies Ltd
SWTZ,Switzer Dividend Growth Fund (Managed Fund)
WCG,Webcentral Group Ltd
ESPO,Vaneck Vectors Video Gaming and Esports ETF
MBH,Maggie Beer Holdings Ltd
AVR,Anteris Technologies Ltd
REIT,Vaneck Vectors Ftse International Property (Hedged) ETF
PGC,Paragon Care Ltd
AUZ,Australian Mines Ltd
ZER,ZETA Resources Ltd
OZG,Ozgrowth Ltd
GWR,GWR Group Ltd
ICT,Icollege Ltd
ATC,Altech Chemicals Ltd
CCE,Carnegie Clean Energy Ltd
ESK,Etherstack Plc
CMP,Compumedics Ltd
LPI,Lithium Power International Ltd
TIP,Teaminvest Private Group Ltd
PKS,PKS Holdings Ltd
PH2,Pure Hydrogen Corporation Ltd
AZY,Antipa Minerals Ltd
SHM,Shriro Holdings Ltd
DCG,Decmil Group Ltd
CVV,Caravel Minerals Ltd
XAM,Xanadu Mines Ltd
URF,US Masters Residential Property Fund
BC8,Black Cat Syndicate Ltd
CIE,Contango Income Generator Ltd
PDI,Predictive Discovery Ltd
PRT,Prime Media Group Ltd
ZLD,Zelira Therapeutics Ltd
NCC,Naos Emerging Opportunities Company Ltd
MOZ,Mosaic Brands Ltd
CHZ,Chesser Resources Ltd
OSL,Oncosil Medical Ltd
8IH,8I Holdings Ltd
ASO,Aston Minerals Ltd
GEN,Genmin Ltd
CLB,Candy Club Holdings Ltd
VVLU,Vanguard Global Value Equity Active ETF (Managed Fund)
3DA,Amaero International Ltd
PAL,Palla Pharma Ltd
FCT,Firstwave Cloud Technology Ltd
TNY,Tinybeans Group Ltd
BEAR,Betashares Australian Equities Bear (Hedge Fund)
KME,Kip Mcgrath Education Centres Ltd
MIO,Macarthur Minerals Ltd
CD3,CD Private Equity Fund Iii
SIO,Simonds Group Ltd
MDC,Medlab Clinical Ltd
CLF,Concentrated Leaders Fund Ltd
JYC,Joyce Corporation Ltd
BRL,Bathurst Resources Ltd
VMS,Venture Minerals Ltd
ZYUS,ETFs S&P 500 High Yield Low Volatility ETF
ASN,Anson Resources Ltd
ADA,Adacel Technologies Ltd
SND,Saunders International Ltd
MAM,Microequities Asset Management Group Ltd
BBC,BNK Banking Corporation Ltd
EDE,Eden Innovations Ltd
PTX,Prescient Therapeutics Ltd
TI1,Tombador Iron Ltd
INF,Infinity Lithium Corporation Ltd
AVL,Australian Vanadium Ltd
CLX,Cti Logistics Ltd
RSM,Russell Investments Australian Semi-Government Bond ETF
IVZ,Invictus Energy Ltd
NZO,New Zealand Oil & Gas Ltd
HIT,Hitech Group Australia Ltd
AOU,Auroch Minerals Ltd
CAY,Canyon Resources Ltd
SUV,Suvo Strategic Minerals Ltd
UBN,Urbanise.com Ltd
HNDQ,Betashares Nasdaq 100 ETF - Currency Hedged
NGY,Nuenergy Gas Ltd
LBL,Laserbond Ltd
AUC,Ausgold Ltd
QFE,Quickfee Ltd
HMX,Hammer Metals Ltd
HAV,Havilah Resources Ltd
BRU,Buru Energy Ltd
BRB,Breaker Resources NL
ATH,Alterity Therapeutics Ltd
BPH,BPH Energy Ltd
OEC,Orbital Corporation Ltd
TER,Terracom Ltd
LCL,Los Cerros Ltd
IKO,Ishares MSCI South Korea ETF
IME,Imexhs Ltd
AR9,Archtis Ltd
MXI,Maxitrans Industries Ltd
ESGI,Vaneck Vectors MSCI International Sustainable Equity ETF
CVL,Civmec Ltd
HWK,Hawkstone Mining Ltd
ASP,Aspermont Ltd
WOA,Wide Open Agriculture Ltd
ELS,Elsight Ltd
RTE,"Retech Technology Co., Ltd"
CWZ,Cashwerkz Ltd
DOU,Douugh Ltd
FFI,FFI Holdings Ltd
CPV,Clearvue Technologies Ltd
AML,Aeon Metals Ltd
DRO,Droneshield Ltd
CD2,CD Private Equity Fund Ii
PUR,Pursuit Minerals Ltd
ACW,Actinogen Medical Ltd
ICI,Icandy Interactive Ltd
CDX,Cardiex Ltd
ARL,Ardea Resources Ltd
MA1,Monash Absolute Investment Company Ltd
KSN,Kingston Resources Ltd
LRS,Latin Resources Ltd
QTM,Quantum Health Group Ltd
EUR,European Lithium Ltd
NUS,Nusantara Resources Ltd
TGH,Terragen Holdings Ltd
AKL,Auckland Real Estate Trust
AAR,Anglo Australian Resources NL
AC8,Auscann Group Holdings Ltd
BML,Boab Metals Ltd
BCB,Bowen Coking Coal Ltd
MYE,Mastermyne Group Ltd
GRV,Greenvale Mining Ltd
DBF,Duxton Broadacre Farms Ltd
LER,Leaf Resources Ltd
OVT,Ovato Ltd
TGA,Thorn Group Ltd
ACB,A-Cap Energy Ltd
FHS,Freehill Mining Ltd
ASH,Ashley Services Group Ltd
FSI,Flagship Investments Ltd
KTG,K-Tig Ltd
GGUS,Betashares Geared US Equity Fund Currency Hedged (Hedgefund)
ATS,Australis Oil & Gas Ltd
BLG,Bluglass Ltd
AVC,Auctus Investment Group Ltd
SPZ,Smart Parking Ltd
HRL,HRL Holdings Ltd
DRX,Diatreme Resources Ltd
WHK,Whitehawk Ltd
TDL,TBG Diagnostics Ltd
SPY,SPDR S&P 500 ETF Trust
IBC,Ironbark Capital Ltd
MNRS,Betashares Global Gold Miners ETF - Currency Hedged
MPP,Metro Performance Glass Ltd
CKA,Cokal Ltd
EXL,Elixinol Global Ltd
PSC,Prospect Resources Ltd
DEV,DEVEX Resources Ltd
FTC,Fintech Chain Ltd
SKF,SKYFII Ltd
SEG,Sports Entertainment Group Ltd
MEC,Morphic Ethical Equities Fund Ltd
WKT,Walkabout Resources Ltd
KRR,King River Resources Ltd
ADS,Adslot Ltd
AEI,Aeris Environmental Ltd
DEM,De.Mem Ltd
HRZ,Horizon Minerals Ltd
SEQ,Sequoia Financial Group Ltd
HJPN,Betashares Japan ETF-Currency Hedged
NCL,Netccentric Ltd
KPT,Kangaroo Island Plantation Timbers Ltd
IIGF,Intelligent Investor Aus Equity Growth Fund (Managed Fund)
KZR,Kalamazoo Resources Ltd
SMX,Security Matters Ltd
KPO,Kalina Power Ltd
CHM,Chimeric Therapeutics Ltd
RTR,Rumble Resources Ltd
BOL,Boom Logistics Ltd
SRK,Strike Resources Ltd
COI,Comet Ridge Ltd
RAP,Resapp Health Ltd
FML,Focus Minerals Ltd
BFC,Beston Global Food Company Ltd
TMT,Technology Metals Australia Ltd
MRL,Mayur Resources Ltd
ISU,Iselect Ltd
TON,Triton Minerals Ltd
LOM,Lucapa Diamond Company Ltd
SEN,Senetas Corporation Ltd
VLS,Vita Life Sciences Ltd
SSL,Sietel Ltd
COO,Corum Group Ltd
ESR,Estrella Resources Ltd
S2R,S2 Resources Ltd
BDA,Bod Australia Ltd
GML,Gateway Mining Ltd
MAN,Mandrake Resources Ltd
ATL,Apollo Tourism & Leisure Ltd
TRY,Troy Resources Ltd
SMLL,Betashares Aust Small Companies Select Fund (Managed Fund)
PYG,Paygroup Ltd
PAB,PATRYS Ltd
DXB,Dimerix Ltd
PTL,Pental Ltd
PAF,PM Capital Asian Opportunities Fund Ltd
AASF,Airlie Australian Share Fund (Managed Fund)
RFT,Rectifier Technologies Ltd
REE,RAREX Ltd
C6C,Copper Mountain Mining Corporation
AV1,Adveritas Ltd
DGR,DGR Global Ltd
EHH,Eagle Health Holdings Ltd
SIH,Sihayo Gold Ltd
VEFI,Vanguard Ethically Conscious GLB Agg Bond INDEX (Hedged) ETF
MZZ,Matador Mining Ltd
LNU,Linius Technologies Ltd
LSX,Lion Selection Group Ltd
BAT,Battery Minerals Ltd
DME,Dome Gold Mines Ltd
MAY,Melbana Energy Ltd
MEM,Memphasys Ltd
REY,REY Resources Ltd
FPC,Fat Prophets Global Contrarian Fund Ltd
NAM,Namoi Cotton Ltd
ENR,Encounter Resources Ltd
APW,Aims Property Securities Fund
KAI,Kairos Minerals Ltd
DGH,Desane Group Holdings Ltd
WAA,Wam Active Ltd
IVX,Invion Ltd
CV1,CV Check Ltd
MSM,MSM Corporation International Ltd
ESTX,ETFs Euro STOXX 50 ETF
EDC,Eildon Capital Group
EQR,EQ Resources Ltd
AKM,Aspire Mining Ltd
KTD,Keytone Dairy Corporation Ltd
FSG,Field Solutions Holdings Ltd
POD,Podium Minerals Ltd
EYE,Nova EYE Medical Ltd
PIL,Peppermint Innovation Ltd
DCC,Digitalx Ltd
DTS,Dragontail Systems Ltd
BBL,Brisbane Broncos Ltd
BSM,Bass Metals Ltd
EBND,Vaneck Emerging Inc Opportunities Active ETF (Managed Fund)
MNB,Minbos Resources Ltd
RCP,Redbank Copper Ltd
PDZ,Prairie Mining Ltd
NTI,Neurotech International Ltd
BLY,Boart Longyear Ltd
SMN,Structural Monitoring Systems Plc
KOV,Korvest Ltd
ODY,Odyssey Gold Ltd
AJQ,Armour Energy Ltd
BIS,Bisalloy Steel Group Ltd
BOND,SPDR S&P/ASX Australian Bond Fund
NAC,Naos Ex-50 Opportunities Company Ltd
CUE,CUE Energy Resources Ltd
SWK,Swick Mining Services Ltd
QHL,Quickstep Holdings Ltd
ARD,Argent Minerals Ltd
RINC,Betashares Legg Mason Real Income Fund (Managed Fund)
BIT,Biotron Ltd
OSP,Osprey Medical Inc
EMKT,Vaneck Vectors MSCI Multifactor Emerging Markets Equity ETF
AQI,Alicanto Minerals Ltd
TD1,Tali Digital Ltd
IMC,Immuron Ltd
AUR,Auris Minerals Ltd
RDH,Redhill Education Ltd
GEV,Global Energy Ventures Ltd
ACR,ACRUX Ltd
E2M,E2 Metals Ltd
INIF,Intelligent Investor Aus Equity Income Fund (Managed Fund)
HGO,Hillgrove Resources Ltd
RCL,Readcloud Ltd
EQX,Equatorial Resources Ltd
XF1,Xref Ltd
MTH,Mithril Resources Ltd
KLA,Kirkland Lake Gold Ltd
SGQ,ST George Mining Ltd
CCA,Change Financial Ltd
TAS,Tasman Resources Ltd
VII,Vietnam Industrial Investments Ltd
TMZ,Thomson Resources Ltd
CCZ,Castillo Copper Ltd
IXC,INVEX Therapeutics Ltd
WWG,Wiseway Group Ltd
RVS,Revasum Inc
BNL,Blue Star Helium Ltd
OEL,Otto Energy Ltd
QFN,Betashares Australian Financials Sector ETF
DRE,Dreadnought Resources Ltd
IIND,Betashares India Quality ETF
WRM,White Rock Minerals Ltd
ADV,Ardiden Ltd
IP1,Integrated Payment Technologies Ltd
TPD,Talon Petroleum Ltd
IPT,Impact Minerals Ltd
ECL,Excelsior Capital Ltd
GROW,Schroder Real Return (Managed Fund)
PYR,Payright Ltd
MGU,Magnum Mining and Exploration Ltd
ACS,Accent Resources NL
TRT,Todd River Resources Ltd
EAS,Easton Investments Ltd
SOV,Sovereign Cloud Holdings Ltd
1AD,Adalta Ltd
MEU,Marmota Ltd
CGB,Cann Global Ltd
IHEB,Ishares J.P. Morgan Usd Emerging Markets (Aud Hedged) ETF
CI1,Credit Intelligence Ltd
CST,Castile Resources Ltd
EME,Energy Metals Ltd
TNR,Torian Resources Ltd
CGA,Contango Asset Management Ltd
CLE,Cyclone Metals Ltd
CURE,ETFs S&P Biotech ETF
BNKS,Betashares Global Banks ETF - Currency Hedged
ANA,Ansila Energy NL
MAET,Munro Global Growth Fund (Hedge Fund)
FFR,Firefly Resources Ltd
PEC,Perpetual Resources Ltd
S66,Star Combo Pharma Ltd
ICG,Inca Minerals Ltd
ESH,Esports Mogul Ltd
GBZ,GBM Resources Ltd
AVE,Avecho Biotechnology Ltd
STN,Saturn Metals Ltd
AGE,Alligator Energy Ltd
MIRNA,Mirrabooka Investments Ltd
VBC,Verbrec Ltd
EPN,Epsilon Healthcare Ltd
MKAX,Montaka Global Extension Fund (Quoted Managed Hedge Fund)
HLTH,Vaneck Vectors Global Healthcare Leaders ETF
NSX,NSX Ltd
EBG,Eumundi Group Ltd
VMX,Valmec Ltd
AFA,Asf Group Ltd
MSL,MSL Solutions Ltd
AJL,AJ Lucas Group Ltd
RLE,Real Energy Corporation Ltd
YRL,Yandal Resources Ltd
HEUR,Betashares Europe ETF-Currency Hedged
VIP,VIP Gloves Ltd
MYG,Mayfield Group Holdings Ltd
HFY,Hubify Ltd
MKR,Manuka Resources Ltd
WRLD,Betashares Managed Risk Global Share Fund (Managed Fund)
TOU,Tlou Energy Ltd
JAT,Jatcorp Ltd
NSB,Neuroscientific Biopharmaceuticals Ltd
EPM,Eclipse Metals Ltd
TFL,Tasfoods Ltd
HRN,Horizon Gold Ltd
ERM,Emmerson Resources Ltd
ATR,Astron Corporation Ltd
FRB,Firebird Metals Ltd
XRF,XRF Scientific Ltd
VBS,Vectus Biosystems Ltd
SKY,SKY Metals Ltd
SGC,Sacgasco Ltd
FFT,Future First Technologies Ltd
VRC,Volt Resources Ltd
TPP,Tempo Australia Ltd
RLT,Renergen Ltd
XTE,Xtek Ltd
AWN,AWN Holdings Ltd
BHL,Boyuan Holdings Ltd
PLY,Playside Studios Ltd
STM,Sunstone Metals Ltd
MCL,Mighty Craft Ltd
CD1,CD Private Equity Fund I
VKA,Viking Mines Ltd
RES,Resource Generation Ltd
14D,1414 Degrees Ltd
VEN,Vintage Energy Ltd
DAV,Davenport Resources Ltd
BYI,Beyond International Ltd
ZNC,Zenith Minerals Ltd
SKN,Skin Elements Ltd
VPR,Volt Power Group Ltd
JAL,Jameson Resources Ltd
OSX,Osteopore Ltd
CPN,Caspin Resources Ltd
RGS,Regeneus Ltd
KAT,Katana Capital Ltd
CAD,Caeneus Minerals Ltd
ELT,Elementos Ltd
AWV,Anova Metals Ltd
DKM,Duketon Mining Ltd
MOQ,MOQ Ltd
CIW,Clime Investment Management Ltd
VRS,Veris Ltd
CTO,Citigold Corporation Ltd
AGS,Alliance Resources Ltd
LRT,Lowell Resources Fund
RPM,RPM Automotive Group Ltd
AJX,Alexium International Group Ltd
PWN,Parkway Minerals NL
LSA,Lachlan Star Ltd
ARE,Argonaut Resources NL
PFT,Pure Foods Tasmania Ltd
MPO,Molopo Energy Ltd
HIL,Hills Ltd
PRO,Prophecy International Holdings Ltd
DTR,Dateline Resources Ltd
AMT,Allegra Orthopaedics Ltd
SHG,Singular Health Group Ltd
AKG,Academies Australasia Group Ltd
VTI,"Visioneering Technologies, Inc"
IGE,Integrated Green Energy Solutions Ltd
CZR,CZR Resources Ltd
NUC,Nuchev Ltd
COY,Coppermoly Ltd
GC1,Glennon Small Companies Ltd
HSC,HSC Technology Group Ltd
CAF,Centrepoint Alliance Ltd
TSL,Titanium Sands Ltd
BEX,Bikeexchange Ltd
